type,date,title,publication,co_authors,topics,url
Article,2026-03-16,Hire OpenClaw Agent as Co-worker | One click spin up on AWS,AWS Builder Center,,"CloudFormation; Bedrock; SSM",https://builder.aws.com/content/3B06xZzSwjcD3GiyYYwrCgZZHC9/hire-openclaw-agent-as-co-worker-or-one-click-spin-up-on-aws
Article,2026-03-08,I Used an AI Agent to Run My LLM Training Experiments,AWS Builder Center,,"PyTorch; Trackio; Kiro",https://builder.aws.com/content/3Ag08gFDyGn8M5PxoPK0qMKDWdY/i-used-an-ai-agent-to-run-my-llm-training-experiments
Article,2026-03-07,I Built a GUI to Migrate Skills into Kiro Powers,AWS Builder Center,,"Kiro; Developer Tools",https://builder.aws.com/content/3AbaOv0xZT0yNGSWYRbJduQP6Cg/i-build-a-gui-to-migrate-skills-into-kiro-powers
Article,2026-01-09,3 Reasons that Degrade Human Cognition using AI,AWS Builder Center,,"Cognition; Critical Thinking",https://builder.aws.com/content/36hYtvzHM8DoYEOtrUyK8tccn32/3-reasons-that-degrades-human-cognition-using-ai
Article,2025-12-10,5 Step Framework to Improve Your Cognitive Powers with AI,AWS Builder Center,,"Cognition; Mindful AI",https://builder.aws.com/content/36elnDMp3u2wpvetyPrGuZMbVLd/5-step-framework-to-improve-your-cognitive-powers-with-ai
Article,2022-08-10,Use computer vision to measure agriculture yield with Amazon Rekognition Custom Labels,AWS Machine Learning Blog,Dhiraj Thakur,"Computer Vision; Rekognition Custom Labels",https://aws.amazon.com/blogs/machine-learning/use-computer-vision-to-measure-agriculture-yield-with-amazon-rekognition-custom-labels/
Article,2022-06-20,Build an appointment scheduler interface integrated with Meta using Amazon Lex and Amazon Connect,AWS Machine Learning Blog,"Anna Schreiber; Nick Vargas","Conversational AI; Amazon Lex",https://aws.amazon.com/blogs/machine-learning/build-an-appointment-scheduler-interface-integrated-with-meta-using-amazon-lex-and-amazon-connect/
Article,2022-02-15,Automate code reviews with Amazon CodeGuru Reviewer,AWS DevOps Blog,Dhiraj Thakur,"DevOps; CodeGuru",https://aws.amazon.com/blogs/devops/automate-code-reviews-with-amazon-codeguru-reviewer/
Article,2021-07-22,Build your own brand detection and visibility using SageMaker Ground Truth and Rekognition Custom Labels (Part 2),AWS Machine Learning Blog,"Amit Mukherjee; Woody Borraccino","Computer Vision; SageMaker Ground Truth",https://aws.amazon.com/blogs/machine-learning/part-2-build-your-own-brand-detection-and-visibility-using-amazon-sagemaker-ground-truth-and-amazon-rekognition-custom-labels-training-and-analysis-workflows/
Article,2021-05-18,Accenture promotes machine learning growth with the world's largest private AWS DeepComposer Battle of the Bands,AWS Machine Learning Blog,"Andre Andree; Cherrelle Brown","DeepComposer; Partner Enablement",https://aws.amazon.com/blogs/machine-learning/accenture-promotes-machine-learning-growth-with-worlds-largest-private-aws-deepcomposer-battle-of-the-bands-league/
Article,2021-04-29,Plant leaf disease detection with Amazon Rekognition Custom Labels,AWS Machine Learning Blog,Dhiraj Thakur,"Computer Vision; Agriculture",https://aws.amazon.com/blogs/machine-learning/plant-leaf-disease-detection-with-amazon-rekognition-custom-labels/
